currentTimestamp,moving,storage,onStation,problemStation,goodStation,empty,low,good,high,full
255,159,0,16673,491,691,125,185,731,99,42
256,160,0,16672,491,691,125,185,731,99,42
257,160,0,16672,491,691,125,185,731,99,42
258,160,0,16672,491,691,125,185,731,99,42
259,160,0,16672,491,691,125,185,731,99,42
260,160,0,16672,491,691,125,185,731,99,42
261,161,0,16671,491,691,125,185,731,99,42
262,161,0,16671,491,691,125,185,731,99,42
263,160,0,16672,491,691,125,185,730,100,42
264,161,0,16671,491,691,125,185,730,100,42
265,161,0,16671,491,691,125,185,730,100,42
266,161,0,16671,491,691,125,185,730,100,42
267,161,0,16671,491,691,125,185,730,100,42
268,161,0,16671,491,691,125,185,730,100,42
269,161,0,16671,491,691,125,185,730,100,42
270,161,0,16671,491,691,125,185,730,100,42
271,160,0,16672,491,691,125,185,729,101,42
272,160,0,16672,491,691,125,185,729,101,42
273,160,0,16672,491,691,125,185,729,101,42
274,161,0,16671,491,691,125,185,729,101,42
275,163,0,16669,491,691,126,184,729,101,42
276,163,0,16669,491,691,126,184,729,101,42
277,163,0,16669,491,691,126,184,729,101,42
278,163,0,16669,491,691,126,184,729,101,42
279,163,0,16669,491,691,126,184,729,101,42
280,163,0,16669,491,691,126,184,729,101,42
281,164,0,16668,491,691,126,184,729,101,42
282,165,0,16667,491,691,126,184,729,101,42
283,167,0,16665,491,691,127,183,729,101,42
284,168,0,16664,491,691,128,182,729,101,42
285,168,0,16664,491,691,128,182,729,101,42
286,170,0,16662,491,691,128,182,729,101,42
287,169,0,16663,491,691,128,182,729,101,42
288,169,0,16663,491,691,128,182,729,101,42
289,169,0,16663,491,691,128,182,729,101,42
290,171,0,16661,491,691,128,182,729,101,42
291,171,0,16661,491,691,128,182,729,101,42
292,174,0,16658,491,691,129,181,729,101,42
293,174,0,16658,491,691,129,181,729,101,42
294,174,0,16658,491,691,129,181,729,101,42
295,174,0,16658,491,691,129,181,729,101,42
296,175,0,16657,491,691,129,181,729,101,42
297,175,0,16657,491,691,129,181,729,101,42
298,175,0,16657,491,691,129,181,729,101,42
299,176,0,16656,491,691,129,181,729,101,42
300,178,0,16654,491,691,129,181,730,100,42
301,179,0,16653,491,691,129,181,730,100,42
302,180,0,16652,492,690,129,182,729,100,42
303,180,0,16652,492,690,129,182,729,100,42
304,181,0,16651,492,690,129,182,729,100,42
305,182,0,16650,492,690,129,182,729,100,42
306,181,0,16651,492,690,129,182,729,100,42
307,182,0,16650,493,689,129,183,728,100,42
308,183,0,16649,493,689,129,183,728,100,42
309,182,0,16650,493,689,129,183,728,100,42
310,183,0,16649,493,689,129,183,728,100,42
311,182,0,16650,493,689,129,183,728,100,42
312,183,0,16649,493,689,129,183,728,100,42
313,183,0,16649,493,689,129,183,728,100,42
314,182,0,16650,492,690,129,182,729,100,42
315,182,0,16650,492,690,129,182,729,100,42
316,183,0,16649,491,691,129,182,729,100,42
317,183,0,16649,491,691,129,182,729,100,42
318,183,0,16649,491,691,129,182,729,100,42
319,184,0,16648,490,692,129,182,729,100,42
320,184,0,16648,490,692,129,182,729,100,42
321,186,0,16646,490,692,129,182,729,100,42
322,187,0,16645,490,692,129,182,729,100,42
323,188,0,16644,490,692,130,181,729,100,42
324,189,0,16643,490,692,130,181,729,100,42
325,190,0,16642,490,692,130,181,729,100,42
326,190,0,16642,490,692,130,181,729,100,42
327,191,0,16641,490,692,130,181,729,100,42
328,191,0,16641,490,692,130,181,729,100,42
329,191,0,16641,490,692,130,181,729,100,42
330,192,0,16640,490,692,130,181,729,100,42
331,191,0,16641,490,692,130,181,729,100,42
332,190,0,16642,490,692,130,181,729,100,42
333,191,0,16641,490,692,130,181,729,100,42
334,191,0,16641,490,692,130,181,729,100,42
335,191,0,16641,490,692,130,181,729,100,42
336,191,0,16641,490,692,130,181,729,100,42
337,193,0,16639,490,692,130,181,729,100,42
338,195,0,16637,489,693,130,181,729,100,42
339,195,0,16637,489,693,130,181,729,100,42
340,195,0,16637,489,693,130,181,729,100,42
341,197,0,16635,489,693,130,181,729,100,42
342,198,0,16634,488,694,130,181,729,100,42
343,198,0,16634,488,694,130,181,729,100,42
344,198,0,16634,488,694,130,181,729,100,42
345,198,0,16634,488,694,130,181,729,100,42
346,199,0,16633,488,694,130,181,729,100,42
347,199,0,16633,488,694,130,181,729,100,42
348,199,0,16633,488,694,130,181,729,99,43
349,199,0,16633,488,694,130,181,729,99,43
350,200,0,16632,488,694,130,181,729,99,43
351,200,0,16632,488,694,130,181,729,99,43
352,200,0,16632,488,694,130,181,729,99,43
353,201,0,16631,488,694,130,181,730,98,43
354,201,0,16631,488,694,130,181,730,98,43
355,201,0,16631,488,694,130,181,730,98,43
356,204,0,16628,488,694,130,181,730,98,43
357,205,0,16627,488,694,131,180,730,98,43
358,206,0,16626,488,694,131,180,730,98,43
